"20021","4","21","42.01","2020-11-19 01:03:47"
"20022","4","22","1.234","2020-11-19 01:03:47"
"20024","1","21","41.94","2020-11-19 01:04:17"
"20025","1","22","1.991","2020-11-19 01:04:17"
"20030","3","21","38.96","2020-11-19 01:04:17"
"20031","3","22","2.505","2020-11-19 01:04:17"
"20033","4","21","42.01","2020-11-19 01:04:17"
"20034","4","22","1.218","2020-11-19 01:04:17"
"20036","1","21","41.94","2020-11-19 01:04:47"
"20037","1","22","1.991","2020-11-19 01:04:47"
"20042","3","21","38.96","2020-11-19 01:04:47"
"20043","3","22","2.505","2020-11-19 01:04:47"
"20045","4","21","42.01","2020-11-19 01:04:47"
"20046","4","22","1.218","2020-11-19 01:04:47"
"20138","3","21","38.99","2020-11-19 01:10:12"
"20139","3","22","2.505","2020-11-19 01:10:12"
"20151","3","22","2.505","2020-11-19 01:11:26"
"20162","3","21","38.99","2020-11-19 01:11:41"
"20163","3","22","2.505","2020-11-19 01:11:41"
"20175","3","22","2.505","2020-11-19 01:13:06"
"20186","3","21","39.01","2020-11-19 01:13:21"
"20187","3","22","2.505","2020-11-19 01:13:21"
"20189","4","21","42.01","2020-11-19 01:13:21"
"20247","3","22","2.505","2020-11-19 01:17:12"
"20300","1","21","42.01","2020-11-19 01:19:53"
"20301","1","22","2.111","2020-11-19 01:19:53"
"20312","1","21","42.01","2020-11-19 01:20:23"
"20313","1","22","1.771","2020-11-19 01:20:23"
"20318","3","21","39.05","2020-11-19 01:20:23"
"20319","3","22","2.505","2020-11-19 01:20:23"
"20321","4","21","42.01","2020-11-19 01:20:23"
"20322","4","22","1.235","2020-11-19 01:20:23"
"20324","1","21","42.01","2020-11-19 01:20:53"
"20325","1","22","1.731","2020-11-19 01:20:53"
"20333","4","21","42.01","2020-11-19 01:20:53"
"20334","4","22","1.212","2020-11-19 01:20:53"
"20348","1","21","42.01","2020-11-19 01:21:53"
"20349","1","22","2.003","2020-11-19 01:21:53"
"20351","2","21","42.01","2020-11-19 01:21:53"
"20358","4","22","0.112","2020-11-19 01:21:53"
"20360","1","21","42.01","2020-11-19 01:22:23"
"20361","1","22","1.702","2020-11-19 01:22:23"
